1	1193	5
1	661	3
1	914	3
1	3408	4
1	2355	5
1	1197	3
1	1287	5
1	2804	5
1	594	4
1	919	4
1	595	5
1	938	4
1	2398	4
1	2918	4
1	1035	5
1	2791	4
1	2687	3
1	2018	4
1	3105	5
1	2797	4
1	2321	3
1	720	3
1	1270	5
1	527	5
1	2340	3
1	48	5
1	1097	4
1	1721	4
1	1545	4
1	745	3
1	2294	4
1	3186	4
1	1566	4
1	588	4
1	1907	4
1	783	4
1	1836	5
1	1022	5
1	2762	4
1	150	5
1	1	5
1	1961	5
1	1962	4
1	2692	4
1	260	4
1	1028	5
1	1029	5
1	1207	4
1	2028	5
1	531	4
1	3114	4
1	608	4
1	1246	4
2	1357	5
2	3068	4
2	1537	4
2	647	3
2	2194	4
2	648	4
2	2268	5
2	2628	3
2	1103	3
2	2916	3
2	3468	5
2	1210	4
2	1792	3
2	1687	3
2	1213	2
2	3578	5
2	2881	3
2	3030	4
2	1217	3
2	3105	4
2	434	2
2	2126	3
2	3107	2
2	3108	3
2	3035	4
2	1253	3
2	1610	5
2	292	3
2	2236	5
2	3071	4
2	902	2
2	368	4
2	1259	5
2	3147	5
2	1544	4
2	1293	5
2	1188	4
2	3255	4
2	3256	2
2	3257	3
2	110	5
2	2278	3
2	2490	3
2	1834	4
2	3471	5
2	589	4
2	1690	3
2	3654	3
2	2852	3
2	1945	5
2	982	4
2	1873	4
2	2858	4
2	1225	5
2	2028	4
2	515	5
2	442	3
2	2312	3
2	265	4
2	1408	3
2	1084	3
2	3699	2
2	480	5
2	1442	4
2	2067	5
2	1265	3
2	1370	5
2	1193	5
2	1801	3
2	1372	3
2	2353	4
2	3334	4
2	2427	2
2	590	5
2	1196	5
2	1552	3
2	736	4
2	1198	4
2	593	5
2	2359	3
2	95	2
2	2717	3
2	2571	4
2	1917	3
2	2396	4
2	3735	3
2	1953	4
2	1597	3
2	3809	3
2	1954	5
2	1955	4
2	235	3
2	1124	5
2	1957	5
2	163	4
2	21	1
2	165	3
2	2321	3
2	1090	2
2	380	5
2	2501	5
2	349	4
2	457	4
2	1096	4
2	920	5
2	459	3
2	1527	4
2	3418	4
2	1385	3
2	3451	4
2	3095	4
2	780	3
2	498	3
2	2728	3
2	2002	5
2	1962	5
2	1784	5
2	2943	4
2	2006	3
2	318	5
2	1207	4
2	1968	2
2	3678	3
2	1244	3
2	356	5
2	1245	2
2	1246	5
2	3893	1
2	1247	5
3	3421	4
3	1641	2
3	648	3
3	1394	4
3	3534	3
3	104	4
3	2735	4
3	1210	4
3	1431	3
3	3868	3
3	1079	5
3	2997	3
3	1615	5
3	1291	4
3	1259	5
3	653	4
3	2167	5
3	1580	3
3	3619	2
3	260	5
3	2858	4
3	3114	3
3	1049	4
3	1261	1
3	552	4
3	480	4
3	1265	2
3	1266	5
3	733	5
3	1196	4
3	590	4
3	2355	5
3	1197	5
3	1198	5
3	1378	5
3	593	3
