18703384	79063887	1	1
20707117	79063887	1	1
29129125	79063887	1	1
3515924	79063887	1	1
33051577	79063887	1	1
31458722	79063887	1	1
31669415	79063887	1	1
9341916	79063887	1	1
30373538	79063887	1	1
17009268	79063887	1	1
27271460	79063887	1	1
21813440	79063887	1	1
36276912	79063887	1	1
8973353	79063887	1	1
15470430	79063887	1	1
20043657	79063887	1	1
34161842	79063887	3	1
21421708	79063887	1	1
11460728	79063887	1	1
33050662	79063887	1	1
32729366	79063887	1	1
30616889	79063887	1	1
6330261	79063887	1	1
32451601	79063887	1	1
33534455	76118727	1	1
28079163	76118727	2	1
32091333	76118727	1	1
34119079	76118727	1	1
6363862	76118727	1	1
34033080	76118727	2	1
31821733	76118727	1	1
20306047	76118727	1	1
29804042	76118727	1	1
11896941	76118727	1	1
13908004	76118727	1	1
24962318	76118727	1	1
16669322	76118727	1	1
17751562	29946871	1	1
35788601	29946871	1	1
25776424	29946871	1	1
31508822	29946871	1	1
30650980	29946871	1	1
16576843	29946871	1	1
34685865	29946871	1	1
32053717	29946871	1	1
12649980	29946871	2	1
31669415	29946871	1	1
27430375	29946871	2	1
32421567	29946871	1	1
32223491	29946871	1	1
32752024	29946871	1	1
33216143	29946871	2	1
22326366	85540098	1	1
30320478	85540098	1	1
32857440	85540098	1	1
32922068	85540098	2	1
28749332	85540098	2	1
33796775	85540098	1	1
22669040	85540098	1	1
19730709	85540098	1	1
6348382	85540098	1	1
21294723	85540098	2	1
5219336	85540098	1	1
8683596	85540098	1	1
1908948	85540098	1	1
18386513	85540098	1	1
33538351	85540098	2	1
24204845	85540098	1	1
34314583	85540098	2	1
29786784	85540098	1	1
34459107	85540098	1	1
24962318	85540098	1	1
36276954	85540098	2	1
8116239	85540098	1	1
32083600	85540098	2	1
36205091	85369522	2	1
32475513	85369522	2	1
14336077	85369522	2	1
27416379	85369522	2	1
33658147	85369522	2	1
19972883	85369522	3	1
24411974	85369522	2	1
4381450	85369522	1	1
6563626	85369522	2	1
35473106	85369522	1	1
